,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,cash,curriculum,chart,commitment,assistance,conflict,capacity,candidate,compound,caution,diana,chapter,creature,enemy,coverage,drama,germany,dawn,consequence,declaration,passenger,headquarters,depths,earl,french,bullet,eyebrow,developer,drive,colony,draft,graham,collar
12,cattle,custom,check,communication,availability,confusion,cheque,captain,cottage,chance,edward,club,earth,fire,description,effort,hitler,decade,context,decree,plane,home,doubt,emperor,future,button,face,driver,drop,community,election,green,crown
13,champagne,cycle,claim,comparison,birth,controversy,compensation,chairman,cupboard,comment,elizabeth,college,entity,fleet,dialogue,enterprise,india,dinner,culture,directive,ship,hospital,dream,family,german,cable,finger,employee,exercise,constituency,event,howard,dress
14,chemical,database,conduct,complexity,closure,crash,concentration,chief,door,complaint,emily,commission,figure,force,diary,expedition,iraq,episode,definition,guideline,tank,laboratory,dust,father,human,camera,fist,employer,fall,continent,examination,jackson,fabric
15,cigarette,datum,contact,concern,completion,crime,consumption,clerk,doorway,conclusion,francis,committee,fish,gang,discourse,film,ireland,evening,dimension,injunction,taxi,library,fear,friend,ideal,candle,foot,farmer,fight,corner,exhibition,johnson,flag
16,coal,design,copy,confidence,compliance,crisis,cost,coach,downstairs,consensus,george,company,flower,grip,drawing,group,israel,festival,direction,jurisdiction,train,medicine,feeling,husband,individual,card,forehead,guest,fighting,corridor,final,jones,furniture
17,coffee,device,count,connection,construction,damage,credit,commander,entrance,consent,harry,conference,ghost,guard,edition,industry,italy,half,discipline,lease,transport,mine,flame,king,joint,ceiling,hand,holder,hold,country,football,kelly,garment
18,coin,domain,counter,consciousness,contribution,danger,currency,commentator,estate,consideration,helen,congress,girl,influence,entry,initiative,japan,holiday,doctrine,legislation,truck,museum,flavour,lady,labour,cell,head,host,holding,countryside,game,kinnock,glove
19,cream,element,cover,contempt,conversion,death,damages,commissioner,farm,consultation,henry,convention,heaven,personnel,essay,label,june,hour,effect,licence,vehicle,office,flesh,lord,living,chip,heart,insider,hunt,county,goal,knight,hair
20,crop,engine,date,contradiction,creation,defect,debt,constable,flat,conviction,isabel,corp,hell,police,example,magazine,kingdom,instance,expression,limitation,vessel,plant,flow,lover,major,circle,heel,investor,journey,district,grade,lewis,jacket
21,diet,environment,deal,contrast,decline,depression,deficit,consultant,floor,criticism,jack,corporation,hero,protest,gift,media,kong,interval,extent,monopoly,,prison,gaze,marriage,male,clock,horn,landlord,kick,east,league,martin,knife
22,dish,equation,delay,courage,delivery,dilemma,demand,councillor,garage,debate,james,council,horse,raid,headline,mission,leeds,lifetime,fashion,obligation,,restaurant,glimpse,mother,minority,cloud,knee,maker,kiss,edge,level,marx,mail
23,dollar,equipment,deposit,curiosity,departure,disaster,distance,critic,garden,decision,jane,court,inhabitant,rebel,history,movement,liverpool,lunch,gesture,option,,school,glory,neighbour,other,cluster,limb,manufacturer,landing,field,match,miller,mask
24,drink,experiment,detail,democracy,destruction,disease,dividend,dancer,gate,demonstration,john,delegation,insect,staff,image,movie,london,meeting,habit,penalty,,shelter,grin,opponent,past,container,mouth,miner,launch,forest,medal,morgan,pack
25,drug,factor,display,desire,development,disorder,dose,defender,grave,determination,joseph,department,jesus,troops,information,music,march,middle,hierarchy,policy,,shop,heat,parent,peasant,core,muscle,observer,let,front,poll,scot,paint
26,food,format,document,difference,discovery,dispute,earnings,delegate,hall,discretion,kate,division,killer,wing,interview,network,moscow,minute,hypothesis,privilege,,station,hint,partner,potential,curtain,neck,offender,lift,ground,prize,scott,patch
27,fruit,formula,ease,difficulty,distribution,embarrassment,economy,democrat,hill,discussion,laura,faction,monster,,joke,news,oxford,moment,idea,proposal,,store,hope,pope,present,curve,nerve,operator,lock,grounds,qualification,smith,pillow
28,fuel,framework,estimate,disappointment,education,error,efficiency,deputy,hotel,enquiry,lily,firm,moon,,language,newspaper,paris,month,ideology,proposition,,studio,horror,prince,prime,deck,nose,owner,move,gulf,race,stone,pocket
29,glass,function,exchange,discrimination,effectiveness,explosion,electricity,designer,house,evidence,lucy,foundation,mouse,,lecture,operation,republic,morning,interpretation,provision,,surgery,impulse,princess,professional,disc,palm,participant,open,horizon,rank,taylor,seal
30,gold,gene,experience,distinction,establishment,failure,emission,detective,household,expectation,luke,fund,organism,,lesson,partnership,rome,night,kind,referendum,,theatre,intensity,queen,public,disk,shoulder,patient,pass,interior,round,thatcher,shirt
31,goods,generation,favour,duty,evaluation,fate,employment,director,kitchen,explanation,maggie,government,people,,letter,press,russia,occasion,knowledge,regime,,workshop,laugh,rival,relative,envelope,skin,plaintiff,play,island,season,tory,shoe
32,grain,instruction,feature,emotion,evolution,fault,energy,doctor,lane,fact,marie,institute,person,,list,program,scotland,opening,lack,regulation,,,laughter,sister,right,fence,spine,player,punch,lake,selection,walker,skirt
33,grass,instrument,file,emphasis,existence,flood,excess,editor,mill,guidance,mark,institution,planet,,literature,programme,spain,period,manner,remedy,,,light,successor,ritual,fibre,stem,practitioner,rally,land,sport,white,sleeve
34,hundred,interface,finance,enthusiasm,expansion,harm,expenditure,engineer,nest,hearing,mary,journal,prey,,material,project,wales,quarter,matter,requirement,,,love,wife,russian,filter,stomach,prisoner,return,landscape,squad,williams,sofa
35,ingredient,item,finding,excitement,exposure,illness,expense,executive,palace,implication,michael,jury,rabbit,,memory,radio,washington,remainder,meaning,resolution,,,mind,,second,forward,stroke,publisher,ride,line,team,wilson,strip
36,juice,logic,focus,expertise,extension,impact,export,expert,park,impression,mungo,ministry,sheep,,message,series,york,seconds,means,restriction,,,mist,,secret,fragment,tail,pupil,roll,location,test,wood,suit
37,lamb,machine,form,faith,formation,incident,fortune,fellow,pond,inquiry,nigel,organisation,soul,,name,service,,session,motive,rule,,,mood,,self,frame,thigh,purchaser,rose,market,title,wright,sword
38,meal,machinery,gain,freedom,growth,infection,fraction,gentleman,pool,intention,patrick,organization,species,,novel,subsidiary,,spring,myth,sanction,,,noise,,subject,gear,throat,reader,shift,mile,tournament,,towel
